UID,stateName,date,positiveIncrease,deathIncrease,positive,death,population,Lat,Long_,rt,rt_lower,rt_upper,cases_lag,case_rate,case_lower,case_upper,death_rate,death_lower,death_upper
84000035,New Mexico,2020-06-14,102,4,9723,435,2096829,34.8405,-106.2485,1.05033414576825,1.00895918611191,1.0934057917823,119.398214596556,6.57133325962385e-05,6.24924627656779e-05,6.91002064856297e-05,2.10721485359953e-06,1.98316681887021e-06,2.23902215233718e-06
84000035,New Mexico,2020-06-15,122,5,9845,440,2096829,34.8405,-106.2485,1.06304104082083,1.02166060996726,1.10609750776792,126.041002691182,6.70405090192888e-05,6.37984619020024e-05,7.04473072794296e-05,2.04650376440708e-06,1.92385614062356e-06,2.17697028862818e-06
84000035,New Mexico,2020-06-16,88,7,9933,447,2096829,34.8405,-106.2485,1.07682513777612,1.03503069259765,1.12030723884758,134.345060472513,6.85659593351257e-05,6.5262448659173e-05,7.20366899516466e-05,1.98515660974194e-06,1.86204043378017e-06,2.11641309915151e-06
84000035,New Mexico,2020-06-17,132,5,10065,452,2096829,34.8405,-106.2485,1.0917573910727,1.04884764405043,1.13642263270847,143.605784042324,7.0309122610676e-05,6.68775096016047e-05,7.39168182507271e-05,1.92326299054115e-06,1.79733398975934e-06,2.05801512232046e-06
84000035,New Mexico,2020-06-18,88,4,10153,456,2096829,34.8405,-106.2485,1.10793380314622,1.06286937323002,1.15490891267633,152.025834999001,7.2292141950575e-05,6.86342677724571e-05,7.61449631127169e-05,1.86091881084481e-06,1.72955427356053e-06,2.00226085616089e-06
84000035,New Mexico,2020-06-19,107,8,10260,464,2096829,34.8405,-106.2485,1.12548078139602,1.07688491646197,1.17626959940481,159.176610042642,7.45403151189841e-05,7.05248926854296e-05,7.87843606203087e-05,1.79822571985841e-06,1.65877992545347e-06,1.94939406363764e-06
84000035,New Mexico,2020-06-20,170,2,10430,466,2096829,34.8405,-106.2485,1.1445246480254,1.09073809107563,1.20096353162644,168.923445297592,7.70826254284387e-05,7.25477697003337e-05,8.19009484024656e-05,1.73529049809737e-06,1.58533396453206e-06,1.89943140067389e-06
84000035,New Mexico,2020-06-21,135,3,10565,469,2096829,34.8405,-106.2485,1.16513621980769,1.10430479811253,1.22931858398883,180.882465303625,7.99523694726694e-05,7.47101938008254e-05,8.55623718677011e-05,1.67222439102516e-06,1.50971097593976e-06,1.85223162479745e-06
84000035,New Mexico,2020-06-22,129,0,10694,469,2096829,34.8405,-106.2485,1.18740530206231,1.11755748405713,1.26161863839624,190.667867328572,8.31879019889449e-05,7.70279400582826e-05,8.98404790792298e-05,1.60914239446962e-06,1.43249214684136e-06,1.80757657302966e-06
84000035,New Mexico,2020-06-23,144,7,10838,476,2096829,34.8405,-106.2485,1.21149324833572,1.13058288700886,1.29819397377057,195.10585197345,8.68335227481968e-05,7.95229707601026e-05,9.48161342665097e-05,1.54616249695465e-06,1.35427976127687e-06,1.76523236582598e-06
84000035,New Mexico,2020-06-24,152,4,10990,480,2096829,34.8405,-106.2485,1.23758919205382,1.14350600692228,1.33941317231098,193.774542068135,9.09405361267164e-05,8.22211586187573e-05,0.000100584584916417,1.48340488489934e-06,1.27565872070106e-06,1.72498334925654e-06
84000036,New York,2020-03-03,1,0,2,0,19453561,42.1657,-74.9481,7.40849381566084,5.69936377489056,9.63015922206839,31.2245707504393,1.12940829496547e-06,8.34699299740445e-07,1.52817080011144e-06,,,
84000036,New York,2020-03-04,9,0,11,0,19453561,42.1657,-74.9481,6.41817286472048,5.09318686951334,8.08785225769075,41.2335640884611,1.95369818113303e-06,1.49683546067348e-06,2.55000411417642e-06,,,
84000036,New York,2020-03-05,12,0,23,0,19453561,42.1657,-74.9481,5.68783114504309,4.64391942320143,6.96640492358494,55.2553240243647,3.2684866592398e-06,2.58822399157408e-06,4.12754269970716e-06,,,
84000036,New York,2020-03-06,8,0,31,0,19453561,42.1657,-74.9481,5.09866365831573,4.27237923558653,6.08475270268479,75.7945484609895,5.29376980569808e-06,4.32019619391829e-06,6.48674215193541e-06,,,
84000036,New York,2020-03-07,45,0,76,0,19453561,42.1657,-74.9481,4.60628494900896,3.95176947410444,5.36920515493252,109.816940103864,8.3091925993314e-06,6.96894893206505e-06,9.90718719936506e-06,,,
84000036,New York,2020-03-08,30,0,106,0,19453561,42.1657,-74.9481,4.18658248547753,3.66871712496735,4.77754820300112,165.358049215584,1.26524427809898e-05,1.08762590368143e-05,1.47186921334222e-05,,,
84000036,New York,2020-03-09,36,0,142,0,19453561,42.1657,-74.9481,3.82579047855297,3.41671082749776,4.28384886072016,251.865980026813,1.87093227689479e-05,1.64408313430788e-05,2.12908186434276e-05,,,
84000036,New York,2020-03-10,8,0,150,0,19453561,42.1657,-74.9481,3.51408627961199,3.19139323805698,3.86940795427504,383.188037411857,2.68940512366131e-05,2.40979527436786e-05,3.00145825502669e-05,,,
