stateName	date	positiveIncrease	deathIncrease	positive	death	population	interval_start	mean_rt	std_rt	ci_lower	ci_upper
Georgia	2020-05-07	875	28	31618	1355	10617423	2020-05-01	1.05599462940073	0.0144305196947232	1.02789856794279	1.08446423894015
Georgia	2020-05-08	563	45	32181	1400	10617423	2020-05-02	0.916997229241161	0.013385751131528	0.890947197407319	0.943417396729983
Georgia	2020-05-09	407	3	32588	1403	10617423	2020-05-03	0.842035117980108	0.0129040897816707	0.816931387674583	0.867513447895641
Georgia	2020-05-10	992	3	33580	1406	10617423	2020-05-04	1.00667600312419	0.0143576637795956	0.978729952236843	1.03500995563485
Georgia	2020-05-11	422	38	34002	1444	10617423	2020-05-05	0.936483419781782	0.0138803036185329	0.909473903723072	0.963882645424541
Grand Princess	2020-03-08	0	0	0	0	0	2020-03-02	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-09	0	0	0	0	0	2020-03-03	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-10	0	0	0	0	0	2020-03-04	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-11	0	0	0	0	0	2020-03-05	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-12	0	0	0	0	0	2020-03-06	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-13	0	0	0	0	0	2020-03-07	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-14	0	0	0	0	0	2020-03-08	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-15	0	0	0	0	0	2020-03-09	5	5	0.126589039921449	18.4443972705697
Grand Princess	2020-03-16	20	0	20	0	0	2020-03-10	105	22.9128784747792	64.9966549203809	154.441889513373
Grand Princess	2020-03-17	1	0	21	0	0	2020-03-11	5.67868742184269	1.21070022629646	3.55880317399625	8.28590981165828
Grand Princess	2020-03-18	0	0	21	0	0	2020-03-12	2.74353073849817	0.584922718791447	1.71935610728779	4.0031518863441
Grand Princess	2020-03-19	1	1	22	1	0	2020-03-13	2.13362435164185	0.444891431500507	1.35253481451457	3.08988365249111
Grand Princess	2020-03-20	1	0	23	1	0	2020-03-14	1.84725924776224	0.377070214971248	1.18357385587491	2.65630437300882
Grand Princess	2020-03-21	0	0	23	1	0	2020-03-15	1.60648597120238	0.327922575698775	1.02930587444523	2.31007949515023
Grand Princess	2020-03-22	7	0	30	1	0	2020-03-16	1.87854177806293	0.337396063418907	1.2763779973545	2.59522760863302
Grand Princess	2020-03-23	-2	0	28	1	0	2020-03-17	0.578888165351767	0.174541349095366	0.288978886422006	0.967814497211768
Grand Princess	2020-03-24	0	0	28	1	0	2020-03-18	0.565481412379693	0.178820923760877	0.271170317279858	0.966113878593797
Grand Princess	2020-03-25	0	0	28	1	0	2020-03-19	0.657000691251318	0.207761860865923	0.315057368817776	1.12247276774753
Grand Princess	2020-03-26	0	0	28	1	0	2020-03-20	0.653871320417791	0.21795710680593	0.298991604577181	1.14523303882259
Grand Princess	2020-03-27	0	2	28	3	0	2020-03-21	0.635417862580417	0.224654139758837	0.274328332432625	1.14555319387802
Grand Princess	2020-03-28	75	0	103	3	0	2020-03-22	7.22938642226985	0.793528250819966	5.75816593123418	8.86545938133193
Grand Princess	2020-03-29	0	0	103	3	0	2020-03-23	3.1175226770353	0.357604376405086	2.45625328725147	3.85642270192428
Grand Princess	2020-03-30	0	0	103	3	0	2020-03-24	2.03802556256267	0.233777565041139	1.60573234139473	2.52106844465455
Grand Princess	2020-03-31	0	0	103	3	0	2020-03-25	1.68870082865024	0.19370726994631	1.33050418273171	2.08894846550346
Grand Princess	2020-04-01	0	0	103	3	0	2020-03-26	1.49517468294584	0.171508298576353	1.17802759128392	1.84955369631446
Grand Princess	2020-04-02	0	0	103	3	0	2020-03-27	1.37298397792538	0.157492063444137	1.08175521351135	1.698401946152
Grand Princess	2020-04-03	0	0	103	3	0	2020-03-28	1.28950648469475	0.147916538258547	1.01598444344778	1.59513902448482
Grand Princess	2020-04-04	0	0	103	3	0	2020-03-29	0.0161778873976623	0.0161778873976623	0.000409588646725476	0.059678276432205
Grand Princess	2020-04-05	0	0	103	3	0	2020-03-30	0.0198558042920244	0.0198558042920244	0.000502705440439114	0.0732456684977563
Grand Princess	2020-04-06	0	0	103	3	0	2020-03-31	0.0267328781260943	0.0267328781260943	0.000676817875263878	0.098614364868681
Grand Princess	2020-04-07	0	0	103	3	0	2020-04-01	0.0340701625151866	0.0340701625151866	0.000862581832553046	0.125680722500595
Grand Princess	2020-04-08	0	0	103	3	0	2020-04-02	0.042547986035913	0.042547986035913	0.00107722174057549	0.156954391501806
Grand Princess	2020-04-09	0	0	103	3	0	2020-04-03	0.0525096587566032	0.0525096587566032	0.00132942945772026	0.193701801329767
Grand Princess	2020-04-10	0	0	103	3	0	2020-04-04	0.064283603702011	0.064283603702011	0.0016275199350657	0.237134464932751
Grand Princess	2020-04-11	0	0	103	3	0	2020-04-05	0.0782270819709124	0.0782270819709124	0.00198053824051086	0.288570275437785
Grand Princess	2020-04-12	0	-3	103	0	0	2020-04-06	0.0947433793670262	0.0947433793670262	0.0023986946865971	0.349496905560345
Grand Princess	2020-04-13	0	0	103	0	0	2020-04-07	0.114292594154182	0.114292594154182	0.00289363795282195	0.421611602332744
Grand Princess	2020-04-14	0	0	103	0	0	2020-04-08	0.137400134895902	0.137400134895902	0.00347867023230997	0.506852534609975
